1475→37198,2
1476→22678,6
1477→28342,2
1478→25805,6
1479→28514,6
1480→35099,2
1481→22812,82
1482→39654,2
1483→39492,2
1484→29600,2
1485→29432,12
1486→35851,16
1487→38772,2
1488→40668,2
1489→31895,10
1490→38316,6
1491→38124,4
1492→36882,4
1493→38918,34
1494→21009,40
1495→21455,12
1496→37530,4
1497→39698,4
1498→23130,34
1499→27590,4
1500→35869,2
1501→35431,2
1502→23554,96
1503→29852,8
1504→26214,8
1505→32426,34
1506→38920,56
1507→37154,2
1508→21031,8
1509→24785,4
1510→39208,6
1511→37392,2
1512→20325,14
1513→31859,26
1514→34517,6
1515→27100,2
1516→23792,12
1517→31257,2
1518→33500,2
1519→20117,128
1520→26684,40
1521→33958,6
1522→25233,14
1523→21693,2
1524→40039,2
1525→38123,4
1526→32419,4
1527→28183,2
1528→38311,2
1529→29435,6
1530→35856,10
1531→38547,2
1532→24118,40
1533→33993,2
1534→35258,10
1535→39653,4
1536→25802,4
1537→33967,6
1538→28721,2
1539→27769,2
1540→20914,18
1541→25668,12
1542→25439,12
1543→38988,8
1544→28326,6
1545→28114,2
1546→27960,2
1547→38386,28
1548→20379,6
1549→23198,2
1550→34913,42
1551→39402,14
1552→33904,2
1553→22278,2
1554→35009,4
1555→35835,8
1556→22882,24
1557→21409,34
1558→29664,6
1559→20983,14
1560→40866,64
1561→37108,2
1562→26248,22
1563→23508,12
1564→27994,6
1565→29032,2
1566→32648,24
1567→22247,36
1568→23395,142
1569→27735,2
1570→30782,2
1571→33107,2
1572→25062,6
1573→20510,4
1574→36475,2
1575→37795,8
1576→22075,2
1577→34110,6
1578→31462,10
1579→22849,10
1580→21294,4
1581→20346,2
1582→34574,2
1583→22411,8
1584→28319,2
1585→31234,2
1586→26283,8
1587→25406,6
1588→39059,4
1589→40091,2
1590→36011,40
1591→20174,368
1592→32677,2
1593→24712,2
1594→26045,162
1595→29831,2
1596→35660,2
1597→32445,4
1598→40065,214
1599→21052,8
1600→40859,14
1601→20180,6
1602→37137,4
1603→28789,12
1604→26613,4
1605→25096,160
1606→32021,6
1607→24978,2
1608→24376,2
1609→35036,18
1610→29469,2
1611→26421,4
1612→31496,8
1613→30544,2
1614→27993,10
1615→29809,2
